"Name","Category","Antiquarian_Description","Idle_Income","Generation_Prompt"
"Coin of Betrayal","Cursed","A silver piece depicting two faces looking away from each other. If flipped to make a decision, it will always land on the choice that leads to the most misery.","15 Gold/h","Isometric fantasy concept art of a tarnished silver coin depicting two faces looking in opposite directions resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Guilt-Ridden Mirror","Cursed","A cracked hand mirror. It does not reflect the room. Instead, anyone who gazes into it is forced to watch their greatest life regret play out on an endless loop.","35 Gold/h","Isometric fantasy concept art of a cracked silver hand mirror showing a swirling dark void in its reflection resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Screaming Chalice","Cursed","A beautifully jeweled goblet. If anyone attempts to bring it to their lips, the metal contorts into a horrific face and emits a deafening, agonizing shriek.","24 Gold/h","Isometric fantasy concept art of a jeweled golden goblet with the metal contorted into a screaming face resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Burnt Hangman's Noose","Cursed","A frayed rope tied into a perfect noose. It smells overwhelmingly of sulfur and ash, and the rope is always uncomfortably warm to the touch.","12 Gold/h","Isometric fantasy concept art of a frayed hangman's noose rope with scorched and charred edges resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Grasping Gauntlet","Cursed","An empty, rusted knight's gauntlet. If left unattended, it will slowly drag itself across the room in a desperate attempt to hold hands with someone.","21 Gold/h","Isometric fantasy concept art of an empty rusted iron knight's gauntlet with articulated fingers resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Dagger of Salt","Cursed","A ceremonial dagger whose blade is forged entirely of compressed sea salt. The hilt is always damp, and it seems to actively pull moisture from the air.","16 Gold/h","Isometric fantasy concept art of a ceremonial dagger with a blade made of compressed crystalline sea salt resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Bottled Shadow","Ethereal","An apothecary's flask sealed with lead. Inside, a patch of absolute, impenetrable darkness swirls. It absorbs the light of the exhibition hall hungrily.","32 Gold/h","Isometric fantasy concept art of an apothecary's glass flask sealed with lead containing absolute swirling darkness resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Solidified Whisper","Ethereal","It looks like a fragile, translucent piece of spun glass, but it is entirely weightless. If held close to the ear, you can hear hushed, frantic secrets.","28 Gold/h","Isometric fantasy concept art of a fragile translucent wisp of spun glass floating slightly above a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Ghost-Flame Lantern","Ethereal","An antique carriage lantern. It contains no oil or wick, yet it burns with a cold, pale blue flame that casts shadows in the wrong directions.","20 Gold/h","Isometric fantasy concept art of an antique carriage lantern burning with a cold pale blue ghost-flame resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Phantom Key","Ethereal","A large, ornate skeleton key made of a misty, translucent substance. It passes right through physical locks, meant for doors that only exist in the mind.","18 Gold/h","Isometric fantasy concept art of a large ornate skeleton key made of misty translucent ghostly matter resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Thread of Moonlight","Ethereal","A spool of thread that glows with a soft, lunar luminescence. The thread is entirely intangible, slipping through my fingers like cool water.","25 Gold/h","Isometric fantasy concept art of a wooden spool wrapped in glowing silver intangible moonlight thread resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Echoing Conch","Ethereal","A spiraling white seashell. Instead of the sound of the ocean, it plays audio fragments of conversations that will happen in this very room tomorrow.","30 Gold/h","Isometric fantasy concept art of a spiraling white seashell emitting faint magical soundwaves resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Tear of a Spirit","Ethereal","A massive, floating droplet of pale blue liquid. It does not fall, nor does it evaporate. It radiates an overwhelming aura of profound sadness.","38 Gold/h","Isometric fantasy concept art of a massive floating droplet of glowing pale blue liquid hovering above a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Wisp-Glass Prism","Ethereal","A triangular crystal. When normal light passes through it, it doesn't refract into a rainbow, but rather projects faint silhouettes of deceased scholars.","34 Gold/h","Isometric fantasy concept art of a triangular crystal prism projecting faint ghostly silhouettes resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Philosopher's Slag","Alchemical","The byproduct of a failed transmutation. A lump of heavy metallic slag that constantly shifts its color and texture, trying to decide what element it is.","22 Gold/h","Isometric fantasy concept art of a lump of heavy metallic slag constantly shifting in iridescent colors resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Ever-Boiling Flask","Alchemical","A round-bottomed glass flask filled with a crimson liquid. It boils violently and continuously without any heat source, defying all thermodynamics.","19 Gold/h","Isometric fantasy concept art of a round-bottomed glass flask filled with violently boiling crimson liquid resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Petrification Powder","Alchemical","A small vial of grey dust. I accidentally spilled a grain onto a wooden desk; that section of the desk instantly turned to solid granite. Highly dangerous.","40 Gold/h","Isometric fantasy concept art of a small glass vial filled with coarse grey petrification dust resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Aqua Vitae Sponge","Alchemical","A natural sea sponge soaked in the elixir of life. It never dries out, constantly dripping a golden, life-giving fluid that heals any cut it touches.","36 Gold/h","Isometric fantasy concept art of a natural sea sponge constantly dripping glowing golden life-giving fluid resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Sublimation Crucible","Alchemical","A heavy ceramic bowl meant for extreme heat. It constantly emits a thick, fragrant white smoke, though it is completely empty.","17 Gold/h","Isometric fantasy concept art of a heavy ceramic alchemical crucible constantly emitting thick fragrant white smoke resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Midas Touchstone","Alchemical","A testing stone for gold, but this one is reversed. Any precious metal rubbed against it instantly turns into cheap, brittle lead.","26 Gold/h","Isometric fantasy concept art of a black alchemical testing stone with streaks of tarnished lead on it resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Chimera Bone","Alchemical","A single, large femur bone. Oddly, it transitions smoothly from the bone of a lion to the bone of a goat, ending in a serpent's cartilage.","21 Gold/h","Isometric fantasy concept art of a single large bone that transitions from lion to goat to serpent cartilage resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Liquid Gold Syphilis","Alchemical","A horrific medical anomaly captured in a jar. It appears to be a parasitic organism entirely composed of highly toxic, liquid gold.","33 Gold/h","Isometric fantasy concept art of a medical jar containing a parasitic organism made entirely of toxic liquid gold resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Meteorite Core","Cosmic","A jagged chunk of heavy, dark purple rock. It is unnaturally warm to the touch and hums with a frequency that makes my teeth ache.","29 Gold/h","Isometric fantasy concept art of a jagged chunk of heavy dark purple meteorite rock humming with energy resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Void-Stone Pendant","Cosmic","A necklace holding an impossibly black gemstone. It casts no shadow. In fact, it seems to actively suck the ambient light out of the immediate area.","42 Gold/h","Isometric fantasy concept art of a necklace holding an impossibly black void-stone gemstone that absorbs light resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Stardust Hourglass","Cosmic","An hourglass crafted from strange, iridescent glass. The glowing silver sand inside ignores gravity entirely, flowing upwards from the bottom bulb to the top.","37 Gold/h","Isometric fantasy concept art of an hourglass where glowing silver sand flows upwards against gravity resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Trapped Nebula","Cosmic","A flawless glass orb. Inside, a miniature galaxy of swirling pink and blue cosmic dust slowly rotates. A universe in the palm of my hand.","45 Gold/h","Isometric fantasy concept art of a flawless glass orb containing a miniature swirling pink and blue galaxy resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Eclipse Coin","Cosmic","A massive, heavy coin. One side is forged from a blindingly bright stellar metal; the other side is a void so dark it hurts to look at.","31 Gold/h","Isometric fantasy concept art of a massive coin with one side blindingly bright and the other impossibly dark resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Comet-Ice Shard","Cosmic","A jagged spike of ice that absolutely refuses to melt, even over an open flame. Touching it causes instant, severe frostbite.","28 Gold/h","Isometric fantasy concept art of a jagged spike of eternal comet ice emitting freezing mist resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Whispering Meteorite","Cosmic","A porous, metallic space rock. If the room is completely silent, you can hear faint, overlapping voices speaking in an unearthly, clicking language.","34 Gold/h","Isometric fantasy concept art of a porous metallic space rock emitting faint alien signals resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Astrolabe of the Outer Gods","Cosmic","A star-mapping device, but the constellations etched into the bronze rings include geometries and star systems that cannot possibly exist in our reality.","48 Gold/h","Isometric fantasy concept art of a terrifying bronze astrolabe etched with impossible alien constellations resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Mobius Ring","Paradoxical","A heavy gold band with only one continuous surface. Tracing the inside edge inevitably leads to the outside edge without ever crossing a boundary.","35 Gold/h","Isometric fantasy concept art of a heavy gold ring shaped as a mathematically impossible Mobius strip resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Klein Bottle Flask","Paradoxical","A glass vessel with no distinct inside or outside. Any liquid poured into it somehow ends up pouring back out onto the hands of the person pouring it.","32 Gold/h","Isometric fantasy concept art of a glass flask shaped as a mathematically impossible Klein bottle resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Penrose Triangle Block","Paradoxical","A solid wooden puzzle piece carved into an impossible geometric triangle. Simply looking at its intersecting angles causes severe motion sickness.","39 Gold/h","Isometric fantasy concept art of a solid wooden puzzle piece carved into an impossible Penrose triangle resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Shadowless Obelisk","Paradoxical","A small tower of white marble. No matter how intense the spotlight directed at it is, it absolutely refuses to cast a shadow on the pedestal.","26 Gold/h","Isometric fantasy concept art of a white marble obelisk standing in bright light but casting absolutely no shadow resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Reversing Metronome","Paradoxical","A standard musician's metronome. However, you hear the 'tick' a full second before the pendulum actually swings to hit the side. It operates in reverse time.","23 Gold/h","Isometric fantasy concept art of a wooden musician's metronome surrounded by faint chronological distortions resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Fractal Gear","Paradoxical","A brass cog. If you examine the teeth of the cog under a microscope, each tooth is actually composed of millions of identical, smaller cogs. Infinite recursion.","41 Gold/h","Isometric fantasy concept art of a brass cog where the teeth are made of infinitely smaller microscopic cogs resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Weightless Lead Weight","Paradoxical","A massive, 50-pound iron-cast weight. Despite its appearance, it is lighter than air and must be tied to the pedestal with twine so it doesn't float away.","24 Gold/h","Isometric fantasy concept art of a massive 50-pound iron weight floating like a balloon tied down with twine resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Tesseract Puzzle Box","Paradoxical","A hyper-cube made of interlocking obsidian plates. Solving it requires moving the pieces into a fourth spatial dimension. I am afraid to attempt it.","50 Gold/h","Isometric fantasy concept art of a hyper-cube tesseract puzzle box made of interlocking obsidian plates resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Name","Category","Antiquarian_Description","Idle_Income","Generation_Prompt"
"Cartographer's Monocle","Equipment (Mapping)","A brass monocle with three layered lenses. If I wear this, I should be able to memorize the layout of the ruins much faster before the light fades.","25 Gold/h","Isometric fantasy concept art of a brass cartographer's monocle with multiple layered lenses resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Boots of the Swift Descent","Equipment (Agility)","Leather boots reinforced with enchanted steel shanks. They are incredibly light. Wearing these will certainly increase my sprinting speed through the corridors.","30 Gold/h","Isometric fantasy concept art of a pair of lightweight leather boots with enchanted glowing steel shanks resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Glow-Moth Lantern","Equipment (Vision)","A glass lantern containing a colony of luminescent subterranean moths. It casts a piercing, cold light. This will massively expand my field of vision in the dark.","28 Gold/h","Isometric fantasy concept art of a glass lantern filled with glowing blue luminescent moths resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Thief's Padded Insoles","Equipment (Stealth)","Inserts made from a strange, sound-absorbing fungus. Slipping these into my boots will muffle my footsteps, giving the Nemesis a harder time tracking me.","22 Gold/h","Isometric fantasy concept art of thick sound-absorbing fungal boot insoles resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Adrenaline Syringe","Equipment (Stamina)","A terrifying alchemical injector filled with a glowing green stimulant. A quick dose in an emergency should grant me extra time before exhaustion sets in.","35 Gold/h","Isometric fantasy concept art of a frightening brass alchemical syringe filled with glowing green liquid resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Golden Dowsing Rod","Equipment (Looting)","A Y-shaped branch cast in solid gold. It gently tugs my hands toward hidden wealth. With this, I will easily sniff out larger coin caches in the mazes.","40 Gold/h","Isometric fantasy concept art of a Y-shaped dowsing rod cast in solid shiny gold resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Scent-Masking Censer","Equipment (Stealth)","A small brass censer that burns a pungent, ashy incense. Hanging this from my belt will mask my human scent from whatever beasts hunt in the deep.","26 Gold/h","Isometric fantasy concept art of a small smoking brass censer hanging from a leather belt strap resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Temporal Chronometer","Equipment (Time)","A pocket watch that ticks slightly slower than a normal second. Staring at it seems to dilate time, giving me precious extra seconds to preview a maze.","45 Gold/h","Isometric fantasy concept art of an intricate glowing pocket watch emitting faint temporal distortions resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Deep-Canvas Satchel","Equipment (Looting)","A simple messenger bag, but reaching inside reveals it is much deeper than it appears. I will be able to carry significantly more gold back to the surface.","32 Gold/h","Isometric fantasy concept art of an open deep canvas messenger bag with a magically dark interior resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Decoy Music Box","Equipment (Survival)","A wound-up tin box that plays a loud, erratic waltz. If I am cornered, tossing this into a side corridor should perfectly distract the Nemesis.","20 Gold/h","Isometric fantasy concept art of an ornate tin music box with its lid open and gears spinning resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Appraiser's Loupe","Equipment (Looting)","A jeweler's eyepiece made of diamond. Looking through it reveals the true magical value of items. This will guarantee I only find high-tier artifacts.","38 Gold/h","Isometric fantasy concept art of a sparkling diamond appraiser's loupe eyepiece resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Spider-Silk Gloves","Equipment (Agility)","Gloves woven from alchemical spider silk. They stick slightly to the masonry. My cornering and agility in tight labyrinth turns will be much smoother.","24 Gold/h","Isometric fantasy concept art of a pair of thin silvery gloves woven from spider silk resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Luminous Chalk","Equipment (Mapping)","A thick piece of chalk that glows in the dark. I can use it to mark the floors of dead ends, ensuring I never walk in circles during a panic.","18 Gold/h","Isometric fantasy concept art of a thick piece of glowing bright green chalk resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Heartbeat Stethoscope","Equipment (Survival)","A medical instrument modified with acoustic amplifiers. Pressed against a wall, it will let me see the Nemesis's location even through solid stone.","42 Gold/h","Isometric fantasy concept art of an antique brass medical stethoscope with glowing acoustic amplifiers resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Liquid Vigor Flask","Equipment (Stamina)","A leather canteen smelling of mint and ozone. A single sip clears the lungs instantly. Perfect for recovering stamina on incredibly long expeditions.","30 Gold/h","Isometric fantasy concept art of a leather canteen glowing slightly with blue liquid vigor resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Magnetic Gold Collector","Equipment (Looting)","A heavy iron glove imbued with lodestone. I won't need to meticulously pick up every coin; simply waving my hand will pull the gold directly to me.","36 Gold/h","Isometric fantasy concept art of a heavy iron glove imbued with glowing magnetic lodestone resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Charcoal Breathing Mask","Equipment (Survival)","A heavy leather mask with charcoal filters. Absolutely essential if I am to survive the toxic fumes and acid mists of the deeper Alchemical Quarters.","34 Gold/h","Isometric fantasy concept art of a heavy leather breathing mask with industrial charcoal filters resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Thermal Goggles","Equipment (Vision)","Lenses crafted from volcanic glass. They highlight residual heat. Even in pitch blackness, I will see the warm footprints of whatever patrols the maze.","48 Gold/h","Isometric fantasy concept art of heavy leather goggles with glowing red volcanic glass lenses resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Clockwork Mapping Beetle","Equipment (Mapping)","A mechanical scarab. If released at the start of a run, it will scurry ahead and instantly reveal a portion of the map for me. A brilliant scouting tool.","50 Gold/h","Isometric fantasy concept art of a ticking clockwork brass beetle with tiny map scrolls on its back resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Shadow-Weave Cloak","Equipment (Stealth)","A cloak made of fabric that actively absorbs light. Wrapping myself in this will grant me a few precious seconds of total invisibility against the Nemesis.","44 Gold/h","Isometric fantasy concept art of a flowing cloak made of absolute darkness that absorbs light resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Vambrace of Deflection","Equipment (Survival)","A heavy steel forearm guard. If a monster catches me, I can sacrifice this brace to block exactly one lethal blow and make an emergency escape.","35 Gold/h","Isometric fantasy concept art of a heavy polished steel forearm vambrace glowing with protective runes resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Book of Labyrinthine Architecture","Equipment (Mapping)","An ancient treatise on dungeon design. Studying its geometric theories has permanently increased my intuitive understanding of how these mazes are built.","28 Gold/h","Isometric fantasy concept art of an open architectural book showing complex geometric labyrinth blueprints resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Surveyor's Theodolite","Equipment (Mapping)","A precise measuring instrument. Setting this up at the entrance gives me an incredibly accurate, extended preview time before the expedition begins.","33 Gold/h","Isometric fantasy concept art of a precise brass surveyor's theodolite instrument resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Echolocation Tuning Fork","Equipment (Vision)","Striking this large iron fork sends out a sonic wave. The returning echoes briefly outline the shape of the rooms hidden in the fog of war.","26 Gold/h","Isometric fantasy concept art of a large iron tuning fork emitting visible concentric sonic waves resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Blessed Rabbit's Foot","Equipment (Luck)","A gruesome but magically potent charm. Having this in my pocket bends probability in my favor, resulting in easier paths and fewer dead ends.","22 Gold/h","Isometric fantasy concept art of a dried rabbit's foot bound in silver wire emitting a lucky golden glow resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Alchemist's Bandages","Equipment (Survival)","Gauze soaked in regenerative salves. If I stumble into a trap, quickly wrapping the wound will prevent me from losing my sprint speed.","15 Gold/h","Isometric fantasy concept art of a roll of medical gauze dripping with glowing regenerative green salve resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Miner's Canary Cage","Equipment (Stealth)","A tiny golden cage containing an immortal, clockwork canary. It will frantically chirp the exact moment the Nemesis spawns into the labyrinth.","31 Gold/h","Isometric fantasy concept art of a tiny golden birdcage containing a frantic clockwork canary resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Goggles of True Sight","Equipment (Vision)","Lenses ground from angel-tears. They peer through illusions, allowing me to spot fake walls, hidden doors, and concealed floor traps immediately.","46 Gold/h","Isometric fantasy concept art of brass goggles with perfectly clear lenses radiating a holy white light resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Weighted Coin of Fate","Equipment (Luck)","A coin that always lands on its edge. If an expedition ends in disaster, flipping this coin rewinds time, giving me a second attempt at the exact same maze.","55 Gold/h","Isometric fantasy concept art of a heavy gold coin standing perfectly balanced on its edge resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Smuggler's Coat","Equipment (Looting)","A heavy leather duster with dozens of hidden interior pockets. This expands my carrying capacity, allowing me to secure two artifacts per run instead of one.","39 Gold/h","Isometric fantasy concept art of a heavy leather duster coat pinned open to reveal dozens of hidden pockets resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Flask of Oil","Equipment (Agility)","A simple flask of extremely slippery grease. Pouring this behind me in a narrow corridor will drastically slow down any pursuer trying to catch me.","18 Gold/h","Isometric fantasy concept art of a glass flask leaking incredibly slippery iridescent oil resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Skeleton Key Set","Equipment (Agility)","A ring of rusted, shifting keys. They can force open the locked iron gates that occasionally block the fastest shortcut to the exit.","29 Gold/h","Isometric fantasy concept art of an iron ring holding multiple shifting magical skeleton keys resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Reinforced Shin Guards","Equipment (Survival)","Heavy bronze greaves. They are cumbersome, but they allow me to walk straight through low-level spike traps without taking any damage.","27 Gold/h","Isometric fantasy concept art of heavy bronze shin guard greaves dented with trap impacts resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Mirror-Polished Pauldron","Equipment (Survival)","A shoulder guard polished to a mirror finish. Catching the lantern light on it can temporarily blind the Nemesis, giving me a moment to hide.","36 Gold/h","Isometric fantasy concept art of a single steel shoulder pauldron polished to a blinding mirror finish resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Amulet of Endless Breath","Equipment (Survival)","A pendant containing a bubble of pure oxygen. Essential for navigating the flooded sections of the sewers where holding one's breath is mandatory.","32 Gold/h","Isometric fantasy concept art of a silver pendant containing a glowing bubble of pure oxygen resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Hermes Winged Pin","Equipment (Agility)","A small brooch shaped like wings. Pinning it to my chest makes my body feel almost weightless, dramatically increasing my acceleration from a standstill.","41 Gold/h","Isometric fantasy concept art of a small silver brooch shaped like angel wings emitting a windy aura resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Greased Bearings","Equipment (Agility)","Small alchemical ball bearings. Taping these to the soles of my boots allows me to glide smoothly across the stone floors, maintaining top speed effortlessly.","23 Gold/h","Isometric fantasy concept art of perfectly spherical glowing alchemical ball bearings resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Philosopher's Ledger","Equipment (Looting)","An accounting book bound in gold leaf. Any coin recorded in this ledger magically yields interest over time. A phenomenal multiplier for my idle income.","47 Gold/h","Isometric fantasy concept art of a heavy accounting ledger bound in gleaming gold leaf resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Telescopic Grabber","Equipment (Looting)","A mechanical arm extension. It allows me to snatch artifacts from pedestals from three hexes away without having to step onto the pressure plates guarding them.","21 Gold/h","Isometric fantasy concept art of an intricate brass telescopic mechanical grabber arm resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Aura-Dampening Ring","Equipment (Stealth)","A ring made of lead and cold iron. It suppresses my lifeforce signature, meaning the Nemesis must be significantly closer to me to detect my presence.","37 Gold/h","Isometric fantasy concept art of a heavy matte ring made of lead and cold iron absorbing light resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."